ev_id,arrival_period_raw,departure_period_raw,arrival_slot,departure_slot,departure_slot_exclusive,available_periods
541,1,53,0,51,52,52
542,1,53,0,51,52,52
543,1,53,0,51,52,52
544,1,53,0,51,52,52
545,1,53,0,51,52,52
546,1,53,0,51,52,52
547,1,53,0,51,52,52
548,1,53,0,51,52,52
549,1,53,0,51,52,52
550,1,53,0,51,52,52
551,1,53,0,51,52,52
552,1,53,0,51,52,52
553,1,53,0,51,52,52
554,1,53,0,51,52,52
555,1,53,0,51,52,52
556,1,53,0,51,52,52
557,1,53,0,51,52,52
558,1,53,0,51,52,52
559,1,53,0,51,52,52
560,1,53,0,51,52,52
561,1,53,0,51,52,52
562,1,53,0,51,52,52
563,1,53,0,51,52,52
564,1,53,0,51,52,52
565,1,53,0,51,52,52
566,1,53,0,51,52,52
567,1,53,0,51,52,52
568,1,53,0,51,52,52
569,1,53,0,51,52,52
570,1,53,0,51,52,52
571,1,53,0,51,52,52
572,1,53,0,51,52,52
573,1,53,0,51,52,52
574,1,53,0,51,52,52
575,1,53,0,51,52,52
576,1,53,0,51,52,52
577,1,53,0,51,52,52
578,1,53,0,51,52,52
579,1,53,0,51,52,52
580,1,53,0,51,52,52
581,1,53,0,51,52,52
582,1,53,0,51,52,52
583,1,53,0,51,52,52
584,1,53,0,51,52,52
585,1,53,0,51,52,52
586,1,53,0,51,52,52
587,1,53,0,51,52,52
588,1,53,0,51,52,52
589,1,53,0,51,52,52
590,1,53,0,51,52,52
591,1,53,0,51,52,52
592,1,53,0,51,52,52
593,1,53,0,51,52,52
594,1,53,0,51,52,52
595,1,53,0,51,52,52
596,1,53,0,51,52,52
597,1,53,0,51,52,52
598,1,53,0,51,52,52
599,1,54,0,52,53,53
600,1,54,0,52,53,53
601,1,54,0,52,53,53
602,1,54,0,52,53,53
603,1,54,0,52,53,53
604,1,54,0,52,53,53
605,1,54,0,52,53,53
606,1,54,0,52,53,53
607,1,54,0,52,53,53
608,1,54,0,52,53,53
609,1,54,0,52,53,53
610,1,54,0,52,53,53
611,1,54,0,52,53,53
612,1,54,0,52,53,53
613,1,54,0,52,53,53
614,1,54,0,52,53,53
615,1,54,0,52,53,53
616,1,54,0,52,53,53
617,1,54,0,52,53,53
618,1,54,0,52,53,53
619,1,54,0,52,53,53
620,1,54,0,52,53,53
621,1,54,0,52,53,53
622,1,54,0,52,53,53
623,1,54,0,52,53,53
624,1,54,0,52,53,53
625,1,54,0,52,53,53
626,1,54,0,52,53,53
627,1,54,0,52,53,53
628,1,54,0,52,53,53
629,1,54,0,52,53,53
630,1,54,0,52,53,53
631,1,54,0,52,53,53
632,1,54,0,52,53,53
633,1,54,0,52,53,53
634,1,54,0,52,53,53
635,1,54,0,52,53,53
636,1,54,0,52,53,53
637,1,54,0,52,53,53
638,1,54,0,52,53,53
639,1,54,0,52,53,53
640,1,54,0,52,53,53
641,1,54,0,52,53,53
642,1,54,0,52,53,53
643,1,54,0,52,53,53
644,1,54,0,52,53,53
645,1,54,0,52,53,53
646,1,54,0,52,53,53
647,1,54,0,52,53,53
648,1,54,0,52,53,53
649,1,54,0,52,53,53
650,1,54,0,52,53,53
651,1,54,0,52,53,53
652,1,54,0,52,53,53
653,1,54,0,52,53,53
654,1,54,0,52,53,53
655,1,54,0,52,53,53
656,1,54,0,52,53,53
657,1,54,0,52,53,53
658,1,54,0,52,53,53
659,1,54,0,52,53,53
660,1,54,0,52,53,53
661,1,54,0,52,53,53
662,1,54,0,52,53,53
663,1,54,0,52,53,53
664,1,54,0,52,53,53
665,1,54,0,52,53,53
666,1,54,0,52,53,53
667,1,54,0,52,53,53
668,1,54,0,52,53,53
669,1,54,0,52,53,53
670,1,54,0,52,53,53
671,1,54,0,52,53,53
672,1,54,0,52,53,53
673,1,54,0,52,53,53
674,1,54,0,52,53,53
675,1,54,0,52,53,53
676,1,54,0,52,53,53
677,1,54,0,52,53,53
678,1,54,0,52,53,53
679,1,54,0,52,53,53
680,1,54,0,52,53,53
681,1,54,0,52,53,53
682,1,54,0,52,53,53
683,1,54,0,52,53,53
684,1,54,0,52,53,53
685,1,54,0,52,53,53
686,1,54,0,52,53,53
687,1,54,0,52,53,53
688,1,54,0,52,53,53
689,1,54,0,52,53,53
690,1,54,0,52,53,53
691,1,54,0,52,53,53
692,1,54,0,52,53,53
693,1,54,0,52,53,53
694,1,54,0,52,53,53
695,1,54,0,52,53,53
696,1,54,0,52,53,53
697,1,54,0,52,53,53
698,1,54,0,52,53,53
699,1,54,0,52,53,53
700,1,54,0,52,53,53
701,1,54,0,52,53,53
702,1,54,0,52,53,53
703,1,54,0,52,53,53
704,1,54,0,52,53,53
705,1,54,0,52,53,53
706,1,54,0,52,53,53
707,1,54,0,52,53,53
708,1,54,0,52,53,53
709,1,54,0,52,53,53
710,1,54,0,52,53,53
711,1,54,0,52,53,53
712,1,54,0,52,53,53
713,1,54,0,52,53,53
714,1,54,0,52,53,53
715,1,54,0,52,53,53
716,1,54,0,52,53,53
717,1,54,0,52,53,53
718,1,54,0,52,53,53
719,1,54,0,52,53,53
720,1,54,0,52,53,53
721,1,54,0,52,53,53
722,1,54,0,52,53,53
723,1,54,0,52,53,53
724,1,54,0,52,53,53
725,1,54,0,52,53,53
726,1,54,0,52,53,53
727,1,54,0,52,53,53
728,1,54,0,52,53,53
729,1,54,0,52,53,53
730,1,54,0,52,53,53
731,1,54,0,52,53,53
732,1,54,0,52,53,53
733,1,54,0,52,53,53
734,1,54,0,52,53,53
735,1,54,0,52,53,53
736,1,54,0,52,53,53
737,1,54,0,52,53,53
738,1,54,0,52,53,53
739,1,54,0,52,53,53
740,1,54,0,52,53,53
741,1,54,0,52,53,53
742,1,54,0,52,53,53
743,1,54,0,52,53,53
744,1,54,0,52,53,53
745,1,54,0,52,53,53
746,1,54,0,52,53,53
747,1,55,0,53,54,54
748,1,55,0,53,54,54
749,1,55,0,53,54,54
750,1,55,0,53,54,54
751,1,55,0,53,54,54
752,1,55,0,53,54,54
753,1,55,0,53,54,54
754,1,55,0,53,54,54
755,1,55,0,53,54,54
756,1,55,0,53,54,54
757,1,55,0,53,54,54
758,1,55,0,53,54,54
759,1,55,0,53,54,54
760,1,55,0,53,54,54
761,1,55,0,53,54,54
762,1,55,0,53,54,54
763,1,55,0,53,54,54
764,1,55,0,53,54,54
765,1,55,0,53,54,54
766,1,55,0,53,54,54
767,1,55,0,53,54,54
768,1,55,0,53,54,54
769,1,55,0,53,54,54
770,1,55,0,53,54,54
771,1,55,0,53,54,54
772,1,55,0,53,54,54
773,1,55,0,53,54,54
774,1,55,0,53,54,54
