scenario,t,time_label,target_p_ev_ch_mw_raw,target_p_ev_dis_mw_raw,target_p_ev_ch_mw,target_p_ev_dis_mw,allocated_p_ev_ch_mw,allocated_p_ev_dis_mw,ch_error_mw,dis_error_mw,net_error_mw,dispatch_energy_mwh,allocated_energy_mwh,energy_error_vs_dispatch_mwh,unallocated_ch_mwh,unallocated_dis_mwh,offline_power_violation_count,power_violation_count,energy_min_violation_count,energy_max_violation_count,departure_vehicle_count,departure_shortfall_kwh,max_departure_shortfall_kwh,departure_surplus_kwh,raw_final_energy_mwh_after_clip,target_final_energy_mwh,final_repair_delta_mwh,added_charge_battery_mwh,reduced_charge_battery_mwh,added_discharge_battery_mwh
v2g,34,02:30-02:45,16.87480997425515,0.0,16.87480997425515,0.0,16.87480997425515,0.0,0.0,0.0,0.0,-2.0883077719913814,-1.4625283111362732,0.6257794608551082,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000003851949,100.3,-3.8519488043675665e-08,0.0,3.8519488043675665e-08,0.0
v2g,35,02:45-03:00,9.382674983841031,0.0,9.382674983841031,0.0,9.382674983841031,0.0,0.0,0.0,0.0,-0.0944893379251623,0.5312901229299464,0.6257794608551087,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000003851949,100.3,-3.8519488043675665e-08,0.0,3.8519488043675665e-08,0.0
v2g,36,03:00-03:15,18.09080652770672,0.0,18.09080652770672,0.0,18.09080652770672,0.0,0.0,0.0,0.0,3.749807049212515,4.375586510067625,0.6257794608551097,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000003851949,100.3,-3.8519488043675665e-08,0.0,3.8519488043675665e-08,0.0
v2g,37,03:15-03:30,24.104064424292385,0.0,24.104064424292385,0.0,24.104064424292382,0.0,-3.552713678800501e-15,0.0,-3.552713678800501e-15,8.871920739374646,9.497700200229756,0.6257794608551102,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000003851949,100.3,-3.8519488043675665e-08,0.0,3.8519488043675665e-08,0.0
v2g,38,03:30-03:45,24.373244357000377,0.0,24.373244357000377,0.0,24.373244357000374,0.0,-3.552713678800501e-15,0.0,-3.552713678800501e-15,14.051235165237228,14.677014626092335,0.6257794608551066,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000003851949,100.3,-3.8519488043675665e-08,0.0,3.8519488043675665e-08,0.0
v2g,39,03:45-04:00,40.12000040094189,0.0,40.12000040094189,0.0,40.12,0.0,-4.009418930195352e-07,0.0,-4.009418930195352e-07,22.57673525043738,23.202514626092334,0.6257793756549539,8.520015217072796e-08,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000003851949,100.3,-3.8519488043675665e-08,0.0,3.8519488043675665e-08,0.0
v2g,40,04:00-04:15,37.62155204330467,0.0,37.62155204330467,0.0,37.62155204330467,0.0,0.0,0.0,0.0,30.571315059639623,31.19709443529458,0.6257793756549574,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000003851949,100.3,-3.8519488043675665e-08,0.0,3.8519488043675665e-08,0.0
v2g,41,04:15-04:30,40.12000040094189,0.0,40.12000040094189,0.0,40.12,0.0,-4.009418930195352e-07,0.0,-4.009418930195352e-07,39.09681514483977,39.72259443529458,0.6257792904548083,8.520015217072796e-08,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000003851949,100.3,-3.8519488043675665e-08,0.0,3.8519488043675665e-08,0.0
v2g,42,04:30-04:45,40.12000040094189,0.0,40.12000040094189,0.0,40.12,0.0,-4.009418930195352e-07,0.0,-4.009418930195352e-07,47.62231523003992,48.24809443529458,0.6257792052546591,8.520015217072796e-08,0.0,0,0,0,0,36,0.0,0.0,0.0,100.30000003851949,100.3,-3.8519488043675665e-08,0.0,3.8519488043675665e-08,0.0
v2g,43,04:45-05:00,39.76000039734189,0.0,39.76000039734189,0.0,39.76,0.0,-3.9734189272166986e-07,0.0,-3.9734189272166986e-07,56.07131531447507,56.69709443529458,0.6257791208195087,8.44351525302045e-08,0.0,0,0,0,0,26,0.0,0.0,0.0,100.30000003851949,100.3,-3.8519488043675665e-08,0.0,3.8519488043675665e-08,0.0
v2g,44,05:00-05:15,39.500000394741896,0.0,39.500000394741896,0.0,39.5,0.0,-3.947418960592586e-07,0.0,-3.947418960592586e-07,64.46506539835772,65.09084443529458,0.6257790369368621,8.388265268877149e-08,0.0,0,0,0,0,34,0.0,0.0,0.0,100.30000003851949,100.3,-3.8519488043675665e-08,0.0,3.8519488043675665e-08,0.0
v2g,45,05:15-05:30,39.16000039134189,0.0,39.16000039134189,0.0,39.16,0.0,-3.9134189222522764e-07,0.0,-3.9134189222522764e-07,72.78656548151787,73.41234443529459,0.6257789537767167,8.316015191667248e-08,0.0,0,0,0,0,40,0.0,0.0,0.0,100.30000003851949,100.3,-3.8519488043675665e-08,0.0,3.8519488043675665e-08,0.0
v2g,46,05:30-05:45,38.76000038734189,0.0,38.76000038734189,0.0,38.76,0.0,-3.8734189189426615e-07,0.0,-3.8734189189426615e-07,81.02306556382803,81.64884443529456,0.6257788714665367,8.231015090132132e-08,0.0,0,0,0,0,48,0.0,0.0,0.0,100.30000003851949,100.3,-3.8519488043675665e-08,0.0,3.8519488043675665e-08,0.0
v2g,47,05:45-06:00,38.11324648189599,0.0,38.11324648189599,0.0,37.80352941176471,0.0,-0.3097170701312848,0.0,-0.3097170701312848,89.12213044123092,89.68209443529457,0.5599639940636507,0.06581487740289776,0.0,0,0,0,0,54,0.0,0.0,0.0,100.30000003851949,100.3,-3.8519488043675665e-08,0.0,3.8519488043675665e-08,0.0
v2g,48,06:00-06:15,10.310555823051391,0.0,10.310555823051391,0.0,10.31055582305137,0.408,-2.1316282072803006e-14,0.408,-0.4080000000000208,91.31312355362934,91.753087547693,0.4399639940636604,0.0,0.0,0,0,0,0,64,0.0,0.0,0.0,100.30000003851949,100.3,-3.8519488043675665e-08,0.0,3.8519488043675665e-08,0.0
v2g,49,06:15-06:30,16.396445016717077,0.0,16.396445016717077,0.0,16.396445016717017,1.1456,-6.039613253960852e-14,1.1456,-1.1456000000000603,94.79736811968172,94.90039093727476,0.10302281759304321,0.0,0.0,0,0,0,0,80,0.0,0.0,0.0,100.30000003851949,100.3,-3.8519488043675665e-08,0.0,3.8519488043675665e-08,0.0
v2g,50,06:30-06:45,20.25505081678316,0.0,20.25505081678316,0.0,20.25505081678297,2.642019165712654,-1.9184653865522705e-13,2.642019165712654,-2.6420191657128456,99.10156641824814,98.42752477533743,-0.6740416429107086,0.0,0.0,0,0,0,0,96,0.0,0.0,0.0,100.30000003851949,100.3,-3.8519488043675665e-08,0.0,3.8519488043675665e-08,0.0
v2g,51,06:45-07:00,5.639687393793129,0.0,5.63968721252495,0.0,5.639687212524847,4.518249999999951,-1.0302869668521453e-13,4.518249999999951,-4.518250000000054,100.29999998942918,98.29706124917544,-2.0029387402537395,0.0,0.0,0,0,0,0,120,0.0,0.0,0.0,100.30000003851949,100.3,-3.8519488043675665e-08,0.0,3.8519488043675665e-08,0.0
v2g,52,07:00-07:15,0.0,-9.033790106592008e-09,0.0,0.0,12.423354138558626,7.360003038161856,12.423354138558626,7.360003038161856,5.06335110039677,100.2999999920862,98.77231722768919,-1.5276827643970137,0.0,0.0,0,0,0,0,148,0.0,0.0,4.639844064513454e-12,100.30000003851949,100.3,-3.8519488043675665e-08,0.0,3.8519488043675665e-08,0.0
v2g,53,07:15-07:30,0.0,-8.992998601107601e-09,0.0,0.0,14.94,9.755634085046614,14.94,9.755634085046614,5.184365914953386,100.29999999473118,99.07776308502842,-1.2222369097027581,0.0,0.0,0,0,0,0,180,0.0,0.0,6.217248937900877e-13,100.30000003851949,100.3,-3.8519488043675665e-08,0.0,3.8519488043675665e-08,0.0
v2g,54,07:30-07:45,0.0,-8.960637580316276e-09,0.0,0.0,15.556167886921898,8.752999999999874,15.556167886921898,8.752999999999874,6.803167886922024,100.29999999736668,99.80903699629347,-0.49096300107321156,0.0,0.0,0,0,0,0,216,0.0,0.0,1.5120349416974932e-11,100.30000003851949,100.3,-3.8519488043675665e-08,0.0,3.8519488043675665e-08,0.0
v2g,55,07:45-08:00,0.0,-8.953336189937505e-09,0.0,0.0,15.952406163942912,9.856339240846028,15.952406163942912,9.856339240846028,6.096066923096885,100.3,100.30000000000015,1.5631940186722204e-13,0.0,0.0,0,0,0,0,2870,0.0,0.0,1.489404155563534e-10,100.30000003851949,100.3,-3.8519488043675665e-08,0.0,3.8519488043675665e-08,0.0
