scenario,t,time_label,target_p_ev_ch_mw_raw,target_p_ev_dis_mw_raw,target_p_ev_ch_mw,target_p_ev_dis_mw,allocated_p_ev_ch_mw,allocated_p_ev_dis_mw,ch_error_mw,dis_error_mw,net_error_mw,dispatch_energy_mwh,allocated_energy_mwh,energy_error_vs_dispatch_mwh,unallocated_ch_mwh,unallocated_dis_mwh,offline_power_violation_count,power_violation_count,energy_min_violation_count,energy_max_violation_count,departure_vehicle_count,departure_shortfall_kwh,max_departure_shortfall_kwh,departure_surplus_kwh,raw_final_energy_mwh_after_clip,target_final_energy_mwh,final_repair_delta_mwh,added_charge_battery_mwh,reduced_charge_battery_mwh,added_discharge_battery_mwh
ordered,32,02:00-02:15,0.5588235278845496,0.0,0.5588235278845496,0.0,0.5588235294117646,0.0,1.527215021113193e-09,0.0,1.527215021113193e-09,0.1772499975004149,0.17725,2.49958509446202e-09,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000001000282,100.3,-1.0002821682064678e-08,0.0,1.0002821682064678e-08,0.0
ordered,33,02:15-02:30,16.47058082056696,0.0,16.47058082056696,0.0,16.47058082056696,0.0,0.0,0.0,0.0,3.677248421870893,3.677248424370479,2.4995858716181374e-09,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000001000282,100.3,-1.0002821682064678e-08,0.0,1.0002821682064678e-08,0.0
ordered,34,02:30-02:45,15.471884050432942,0.0,15.471884050432942,0.0,15.471884050432942,0.0,0.0,0.0,0.0,6.965023782587894,6.965023785087479,2.4995854275289275e-09,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000001000282,100.3,-1.0002821682064678e-08,0.0,1.0002821682064678e-08,0.0
ordered,35,02:45-03:00,7.886070577055203,0.0,7.886070577055203,0.0,7.886070577055203,0.0,0.0,0.0,0.0,8.640813780212124,8.64081378271171,2.4995863157073472e-09,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000001000282,100.3,-1.0002821682064678e-08,0.0,1.0002821682064678e-08,0.0
ordered,36,03:00-03:15,16.129978100341216,0.0,16.129978100341216,0.0,16.129978100341216,0.0,0.0,0.0,0.0,12.068434126534632,12.068434129034216,2.499584539350508e-09,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000001000282,100.3,-1.0002821682064678e-08,0.0,1.0002821682064678e-08,0.0
ordered,37,03:15-03:30,21.795323765873547,0.0,21.795323765873547,0.0,21.795323765873547,0.0,0.0,0.0,0.0,16.69994042678276,16.699940429282346,2.4995863157073472e-09,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000001000282,100.3,-1.0002821682064678e-08,0.0,1.0002821682064678e-08,0.0
ordered,38,03:30-03:45,21.89331905330233,0.0,21.89331905330233,0.0,21.89331905330233,0.0,0.0,0.0,0.0,21.352270725609507,21.35227072810909,2.4995827629936684e-09,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000001000282,100.3,-1.0002821682064678e-08,0.0,1.0002821682064678e-08,0.0
ordered,39,03:45-04:00,37.73288276088327,0.0,37.73288276088327,0.0,37.73288276088327,0.0,0.0,0.0,0.0,29.370508312297204,29.370508314796787,2.4995827629936684e-09,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000001000282,100.3,-1.0002821682064678e-08,0.0,1.0002821682064678e-08,0.0
ordered,40,04:00-04:15,33.6922104185619,0.0,33.6922104185619,0.0,33.69221041856189,0.0,-7.105427357601002e-15,0.0,-7.105427357601002e-15,36.530103026241605,36.53010302874119,2.4995827629936684e-09,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000001000282,100.3,-1.0002821682064678e-08,0.0,1.0002821682064678e-08,0.0
ordered,41,04:15-04:30,37.60692054878256,0.0,37.60692054878256,0.0,37.60692054878256,0.0,0.0,0.0,0.0,44.521573642857895,44.52157364535748,2.4995827629936684e-09,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,100.30000001000282,100.3,-1.0002821682064678e-08,0.0,1.0002821682064678e-08,0.0
ordered,42,04:30-04:45,37.5708472296169,0.0,37.5708472296169,0.0,37.57084722961691,0.0,7.105427357601002e-15,0.0,7.105427357601002e-15,52.50537867915149,52.50537868165107,2.499575657566311e-09,0.0,0.0,0,0,0,0,36,0.0,0.0,0.0,100.30000001000282,100.3,-1.0002821682064678e-08,0.0,1.0002821682064678e-08,0.0
ordered,43,04:45-05:00,37.190204258593766,0.0,37.190204258593766,0.0,37.190204258593766,0.0,0.0,0.0,0.0,60.40829708410266,60.40829708660225,2.4995969738483836e-09,0.0,0.0,0,0,0,0,26,0.0,0.0,0.0,100.30000001000282,100.3,-1.0002821682064678e-08,0.0,1.0002821682064678e-08,0.0
ordered,44,05:00-05:15,36.92204816105126,0.0,36.92204816105126,0.0,36.92204816105125,0.0,-7.105427357601002e-15,0.0,-7.105427357601002e-15,68.25423231832605,68.25423232082564,2.499589868421026e-09,0.0,0.0,0,0,0,0,34,0.0,0.0,0.0,100.30000001000282,100.3,-1.0002821682064678e-08,0.0,1.0002821682064678e-08,0.0
