t,time_label,scenario,penetration_scale,p_th_1_mw,p_th_2_mw,p_th_3_mw,p_th_4_mw,p_th_total_mw,p_wind_used_mw,p_wind_curtailed_mw,p_ev_ch_mw,p_ev_dis_mw,p_ev_net_mw,ev_battery_energy_mwh,system_load_mw,thermal_cost_usd,ev_cost_usd,total_cost_usd
30,1:30-1:45,ordered,1.0,31.507188684401395,19.999999977543638,24.999999981964226,31.507188684606366,108.01437732851562,156.9856226750568,-8.999980423141096e-07,3.572443242024114e-09,0.0,3.572443242024114e-09,-1.504495666897631e-09,265.00000000357244,2217.749663374382,-3.1258878367711e-08,2217.7496633431233
31,1:45-2:00,ordered,1.0,30.732841689161727,19.99999997749156,24.9999999819142,30.73284168941387,106.46568333798136,153.8096107765101,-8.999980423141096e-07,0.2752941144915005,0.0,0.2752941144915005,0.058499997824948184,260.2752941144915,2209.805203762725,-2.4088235018006294,2207.396380260924
32,2:00-2:15,ordered,1.0,29.726764087495802,19.999999977393035,24.99999998181799,29.7267640878805,104.45352813458733,151.10529539329724,-8.999980707358191e-07,0.5588235278845496,0.0,0.5588235278845496,0.17724999750041498,255.55882352788456,2199.494933139303,-4.889705868989809,2194.605227270313
33,2:15-2:30,ordered,1.0,19.99999980000203,19.999999800001962,24.99999975000196,24.99999975000203,89.99999910000798,176.47058172055898,1.4165241721465804,16.47058082056696,0.0,16.47058082056696,3.6772484218708934,266.47058082056697,2125.8624953390413,-144.1175821799609,1981.7449131590804
34,2:30-2:45,ordered,1.0,19.99999980000203,19.999999800001962,24.99999975000196,24.99999975000203,89.99999910000798,170.47188495042496,1.402925192021911,15.471884050432942,0.0,15.471884050432942,6.965023782587894,260.47188405043295,2125.8624953390413,-135.37898544128825,1990.483509897753
35,2:45-3:00,ordered,1.0,19.99999980000203,19.999999800001962,24.99999975000196,24.99999975000203,89.99999910000798,162.8860714770472,1.4966036000641907,7.886070577055203,0.0,7.886070577055203,8.640813780212124,252.8860705770552,2125.8624953390413,-69.00311754923304,2056.859377789808
36,3:00-3:15,ordered,1.0,19.99999980000203,19.999999800001962,24.99999975000196,24.99999975000203,89.99999910000798,166.12997900033324,1.9608277077251728,16.129978100341216,0.0,16.129978100341216,12.068434126534632,256.1299781003412,2125.8624953390413,-141.13730837798565,1984.7251869610557
37,3:15-3:30,ordered,1.0,19.99999980000203,19.999999800001962,24.99999975000196,24.99999975000203,89.99999910000798,169.79532466586556,2.3087399989110793,21.795323765873547,0.0,21.795323765873547,16.69994042678276,259.79532376587355,2125.8624953390413,-190.70908295139355,1935.1534123876477
38,3:30-3:45,ordered,1.0,19.99999980000203,19.999999800001962,24.99999975000196,24.99999975000203,89.99999910000798,166.89331995329434,2.479924646882097,21.893319053302335,0.0,21.893319053302335,21.352270725609507,256.8933190533023,2125.8624953390413,-191.56654171639545,1934.2959536226458
39,3:45-4:00,ordered,1.0,20.0,20.0,25.0,25.0,90.0,179.73288276088329,2.5763152022468034,37.73288276088327,0.0,37.73288276088327,29.370508312297204,269.7328827608833,2125.8625,-330.16272415772863,1795.6997758422715
40,4:00-4:15,ordered,1.0,19.99999980000203,19.999999800001962,24.99999975000196,24.99999975000203,89.99999910000798,173.69221131855392,3.9293411004098004,33.6922104185619,0.0,33.6922104185619,36.530103026241605,263.6922104185619,2125.8624953390413,-294.8068411624166,1831.0556541766246
41,4:15-4:30,ordered,1.0,20.0,20.0,25.0,25.0,90.0,177.60692054878257,4.24919472020818,37.606920548782554,0.0,37.606920548782554,44.521573642857895,267.60692054878257,2125.8625,-329.0605548018474,1796.8019451981527
42,4:30-4:45,ordered,1.0,20.0,20.0,25.0,25.0,90.0,175.5708472296169,9.92821472765121,37.5708472296169,0.0,37.5708472296169,52.505378679151484,265.5708472296169,2125.8625,-328.7449132591479,1797.1175867408524
43,4:45-5:00,ordered,1.0,20.0,20.0,25.0,25.0,90.0,172.19020425859378,12.734797925575862,37.190204258593766,0.0,37.190204258593766,60.40829708410266,262.1902042585938,2125.8625,-325.4142872626955,1800.4482127373046
44,5:00-5:15,ordered,1.0,20.0,20.0,25.0,25.0,90.0,171.92204816105126,10.483269137050058,36.92204816105126,0.0,36.92204816105126,68.25423231832605,261.92204816105124,2125.8625,-323.06792140919856,1802.7945785908016
45,5:15-5:30,ordered,1.0,20.0,20.0,25.0,25.0,90.0,168.58616283492822,9.44805548732873,36.586162834928224,0.0,36.586162834928224,76.02879192074829,258.58616283492825,2125.8625,-320.128924805622,1805.7335751943783
46,5:30-5:45,ordered,1.0,20.0,20.0,25.0,25.0,90.0,168.20623132941495,3.862506060421026,36.20623132941496,0.0,36.20623132941496,83.72261607824898,258.20623132941495,2125.8625,-316.80452413238095,1809.0579758676192
47,5:45-6:00,ordered,1.0,19.99999980000203,19.999999800001962,24.99999975000196,24.99999975000203,89.99999910000798,159.22227358064498,4.890973281827058,33.222272680652935,0.0,33.222272680652935,90.78234902288773,249.22227268065296,2125.8624953390413,-290.6948859557132,1835.167609383328
48,6:00-6:15,ordered,1.0,19.99999980000203,19.999999800001962,24.99999975000196,24.99999975000203,89.99999910000798,133.20545327859386,2.105102647006703,8.205452378601867,0.0,8.205452378601867,92.52600765334063,223.20545237860188,2125.8624953390413,-71.79770831276635,2054.064787026275
49,6:15-6:30,ordered,1.0,19.99999980000203,19.999999800001962,24.99999975000196,24.99999975000203,89.99999910000798,139.10221546176496,2.294229718360185,14.102214561772966,0.0,14.102214561772966,95.52272824771738,229.10221456177297,2125.8624953390413,-123.39437741551347,2002.4681179235279
50,6:30-6:45,ordered,1.0,19.99999980000203,19.999999800001962,24.99999975000196,24.99999975000203,89.99999910000798,144.01600681758316,2.239044201194133,18.016005917591144,0.0,18.016005917591144,99.3511295052055,234.01600591759117,2125.8624953390413,-157.64005177892255,1968.2224435601188
51,6:45-7:00,ordered,1.0,19.99999980000203,19.999999800001962,24.99999975000196,24.99999975000203,89.99999910000798,136.46527385666408,1.174413592969529,4.465272956672073,0.0,4.465272956672073,100.30000000849832,226.46527295667207,2125.8624953390413,-39.07113837088065,2086.7913569681605
52,7:00-7:15,ordered,1.0,20.820236854371487,19.999999800288013,24.999999750288115,24.999999982489737,90.82023638743735,134.17976360256463,-8.999980423141096e-07,-9.99802481716042e-09,0.0,-9.99802481716042e-09,100.30000000637374,224.99999999000198,2130.013031990514,8.748271715015369e-08,2130.0130320779967
53,7:15-7:30,ordered,1.0,24.84564596879672,19.9999998011688,24.999999751170492,24.999999991778612,94.84564551291463,135.1543544770873,-8.999980138924002e-07,-9.998034969133025e-09,0.0,-9.998034969133025e-09,100.30000000424916,229.99999999000195,2150.4456630064697,8.748280597991398e-08,2150.4456630939526
54,7:30-7:45,ordered,1.0,27.86307923029501,19.99999997691991,24.999999981347806,27.863079230984205,100.72615841954692,134.27384157045503,-8.999980423141096e-07,-9.998042510016907e-09,0.0,-9.998042510016907e-09,100.30000000212458,234.99999999000195,2180.4306782951808,8.748287196264794e-08,2180.4306783826637
55,7:45-8:00,ordered,1.0,28.783090389265787,19.999999977235667,24.999999981662413,28.783090389731914,102.56618073789578,133.4338192521062,-8.999980707358191e-07,-9.998044795382257e-09,0.0,-9.998044795382257e-09,100.3,235.99999999000195,2189.8361364720886,8.748289195959475e-08,2189.8361365595715
