t,time_label,scenario,penetration_scale,p_th_1_mw,p_th_2_mw,p_th_3_mw,p_th_4_mw,p_th_total_mw,p_wind_used_mw,p_wind_curtailed_mw,p_ev_ch_mw,p_ev_dis_mw,p_ev_net_mw,ev_battery_energy_mwh,system_load_mw,thermal_cost_usd,ev_cost_usd,total_cost_usd
35,2:45-3:00,v2g,1.0,19.999999800210258,19.999999800197664,24.999999750197077,24.9999997502095,89.99999910081449,164.38267588302656,-8.05915163937243e-07,9.382674983841031,0.0,9.382674983841031,-0.09448933792516234,254.38267498384104,2125.8624953432136,-58.64171864900645,2067.220776694207
36,3:00-3:15,v2g,1.0,19.999999800210258,19.999999800197664,24.999999750197077,24.9999997502095,89.99999910081449,168.09080742689224,-7.188338315700094e-07,18.090806527706718,0.0,18.090806527706718,3.749807049212515,258.0908065277067,2125.8624953432136,-113.067540798167,2012.7949545450465
37,3:15-3:30,v2g,1.0,19.999999800210258,19.999999800197664,24.999999750197077,24.9999997502095,89.99999910081449,172.1040653234779,-6.58701253541949e-07,24.104064424292385,0.0,24.104064424292385,8.871920739374646,262.1040644242924,2125.8624953432136,-150.65040265182742,1975.2120926913863
38,3:30-3:45,v2g,1.0,19.999999800210258,19.999999800197664,24.999999750197077,24.9999997502095,89.99999910081449,169.3732452561859,-6.560094618635048e-07,24.373244357000377,0.0,24.373244357000377,14.051235165237227,259.3732443570004,2125.8624953432136,-152.33277723125238,1973.5297181119613
39,3:45-4:00,v2g,1.0,20.0,20.0,25.0,25.0,90.0,182.12000040094188,0.1891975621882125,40.12000040094189,0.0,40.12000040094189,22.57673525043738,272.1200004009419,2125.8625,-250.7500025058868,1875.1124974941133
40,4:00-4:15,v2g,1.0,19.99999980021027,19.999999800197685,24.999999750197095,24.999999750209533,89.99999910081459,177.62155294249007,-5.235263529357326e-07,37.62155204330467,0.0,37.62155204330467,30.571315059639623,267.6215520433047,2125.862495343214,-235.1347002706542,1890.7277950725597
41,4:15-4:30,v2g,1.0,20.0,20.0,25.0,25.0,90.0,180.12000040094188,1.7361148680488725,40.12000040094189,0.0,40.12000040094189,39.09681514483977,270.1200004009419,2125.8625,-250.7500025058868,1875.1124974941133
42,4:30-4:45,v2g,1.0,20.0,20.0,25.0,25.0,90.0,178.12000040094188,7.379061556326235,40.12000040094189,0.0,40.12000040094189,47.62231523003992,268.1200004009419,2125.8625,-250.7500025058868,1875.1124974941133
43,4:45-5:00,v2g,1.0,20.0,20.0,25.0,25.0,90.0,174.76000039734188,10.165001786827759,39.76000039734189,0.0,39.76000039734189,56.07131531447507,264.7600003973419,2125.8625,-248.50000248338682,1877.3624975166133
44,5:00-5:15,v2g,1.0,20.0,20.0,25.0,25.0,90.0,174.5000003947419,7.90531690335942,39.500000394741896,0.0,39.500000394741896,64.46506539835772,264.5000003947419,2125.8625,-246.87500246713688,1878.9874975328632
45,5:15-5:30,v2g,1.0,20.0,20.0,25.0,25.0,90.0,171.1600003913419,6.8742179309150515,39.16000039134189,0.0,39.16000039134189,72.78656548151787,261.1600003913419,2125.8625,-244.75000244588682,1881.1124975541134
46,5:30-5:45,v2g,1.0,20.0,20.0,25.0,25.0,90.0,170.7600003873419,1.3087370024940697,38.76000038734189,0.0,38.76000038734189,81.02306556382803,260.7600003873419,2125.8625,-242.25000242088683,1883.6124975791133
47,5:45-6:00,v2g,1.0,19.999999800210265,19.99999980019768,24.999999750197084,24.99999975020953,89.99999910081456,164.11324738108146,-5.186094256259821e-07,38.113246481895985,0.0,38.113246481895985,89.12213044123092,254.113246481896,2125.8624953432136,-238.20779051184994,1887.6547048313637
48,6:00-6:15,v2g,1.0,19.999999800210258,19.999999800197664,24.999999750197077,24.9999997502095,89.99999910081449,135.31055672223692,-7.966363568812085e-07,10.310555823051391,0.0,10.310555823051391,91.31312355362934,225.3105558230514,2125.8624953432136,-64.4409738940712,2061.4215214491423
49,6:15-6:30,v2g,1.0,19.999999800210258,19.999999800197664,24.999999750197077,24.9999997502095,89.99999910081449,141.3964459159026,-7.357774620686541e-07,16.396445016717077,0.0,16.396445016717077,94.79736811968172,231.39644501671708,2125.8624953432136,-102.47778135448173,2023.3847139887318
50,6:30-6:45,v2g,1.0,19.999999800210258,19.999999800197664,24.999999750197077,24.9999997502095,89.99999910081449,146.2550517159687,-6.971914103814925e-07,20.255050816783157,0.0,20.255050816783157,99.10156641824814,236.25505081678318,2125.8624953432136,-126.59406760489475,1999.268427738319
51,6:45-7:00,v2g,1.0,19.999999800210258,19.999999800197664,24.999999750197077,24.9999997502095,89.99999910081449,137.63968829297866,-8.433450489064853e-07,5.639687393793129,0.0,5.639687393793129,100.29999998942918,227.63968739379314,2125.8624953432136,-35.248046211207054,2090.6144491320065
52,7:00-7:15,v2g,1.0,20.820236829835338,19.999999826949306,24.99999976055086,24.999999989244,90.82023640657951,134.1797636024543,-8.998877092381008e-07,0.0,-9.033790106592008e-09,9.033790106592008e-09,100.29999999208619,225.00000000903378,2130.013032095071,-1.016301386991601e-07,2130.013031993441
53,7:15-7:30,v2g,1.0,24.845644844173222,19.999999870005023,24.99999981924875,25.000000998588437,94.84564553201542,135.15435447697757,-8.998882776722894e-07,0.0,-8.992998601107601e-09,8.992998601107601e-09,100.29999999473118,230.000000008993,2150.4456631306402,-1.011712342624605e-07,2150.445663029469
54,7:30-7:45,v2g,1.0,27.86307927764943,19.99999991762243,24.999999926500784,27.8630793168423,100.72615843861495,134.2738415703457,-8.998887039979309e-07,0.0,-8.960637580316276e-09,8.960637580316276e-09,100.29999999736667,235.00000000896063,2180.430678373311,-1.008071727785581e-07,2180.430678272504
55,7:45-8:00,v2g,1.0,28.783090427516477,19.999999929785005,24.999999945632492,28.78309045402241,102.56618075695638,133.43381925199697,-8.99888846106478e-07,0.0,-8.953336189937505e-09,8.953336189937505e-09,100.3,236.00000000895335,2189.836136556228,-1.0072503213679693e-07,2189.836136455503
